Episode,MeanAnxiety,Density,WordCount,AnxietyHits,StandardDeviation
DM_20250427-235930_Interview,-0.1245,-0.0843,4956,3354,0.7743268818270621
DM_20250428-002857_Interview,-0.1278,-0.0872,2987,2037,0.8017978270229125
DM_20250428-005326_Interview,-0.1325,-0.0912,3880,2672,0.6795590377681334
DM_20250428-012836_Interview,-0.1179,-0.084,4126,2941,0.7100425643134306
DM_20250428-020343_Interview,-0.0989,-0.068,4613,3175,0.7078631695627711
DM_20250428-022805_Interview,-0.1079,-0.0738,2512,1717,0.6037435350946653
DM_20250428-025056_Interview,-0.1162,-0.0788,2774,1881,0.6470738816309436
DM_20250428-031608_Interview,-0.0948,-0.0645,3850,2621,0.6928734931989791
DM_20250428-034634_Interview,-0.0761,-0.0508,3173,2116,0.7341191574053701
DM_20250428-041223_Interview,-0.1593,-0.1126,17297,12230,0.7955224426836611
DM_20250428-052121_Interview,-0.1112,-0.0762,3409,2337,0.7176485874366737
DM_20250428-055231_Interview,-0.1025,-0.073,3221,2296,0.699540370336003
DM_20250428-061846_Interview,-0.0884,-0.0614,2848,1979,0.7941824681162424
DM_20250428-064335_Interview,-0.1149,-0.0792,3919,2701,0.7606936075354961
DM_20250428-071500_Interview,-0.095,-0.0661,612,426,0.5638490600298522
DM_20250428-071927_Interview,-0.1017,-0.0692,2802,1906,0.708690591936359
DM_20250428-074346_Interview,-0.0963,-0.0669,3955,2747,0.7737813147804747
DM_20250428-081637_Interview,-0.1135,-0.0798,3511,2468,0.7013249177292897
DM_20250428-084737_Interview,-0.0967,-0.067,3298,2283,0.6070063172750898
DM_20250428-091756_Interview,-0.0771,-0.0521,2995,2025,0.6874865616924345
DM_20250428-094356_Interview,-0.106,-0.0729,3146,2164,0.6897895127038393
DM_20250428-101025_Interview,-0.0941,-0.0661,6519,4579,0.7364129583985473
DM_20250428-104612_Interview,-0.0911,-0.064,2813,1976,0.7284769750812252
DM_20250428-111206_Interview,-0.1351,-0.0967,14262,10204,0.805063494007078
DM_20250428-122830_Interview,-0.0886,-0.063,4086,2906,0.7376122240456291
DM_20250428-130033_Interview,-0.1271,-0.0895,3350,2358,0.7095205235046228
DM_20250428-132626_Interview,-0.1296,-0.0883,4433,3020,0.7163158880967295
DM_20250428-140229_Interview,-0.0854,-0.0584,3228,2208,0.6953663769029756
DM_20250428-142927_Interview,-0.1123,-0.0786,4136,2894,0.724420723073268
DM_20250428-150338_Interview,-0.0929,-0.0633,3786,2579,0.7107056685502929
DM_20250428-153149_Interview,-0.059,-0.0414,1988,1394,0.735761923020357
DM_20250428-154558_Interview,-0.1028,-0.071,6095,4211,0.7627656411670108
DM_20250428-160817_Interview,-0.1053,-0.073,3441,2386,0.6978360868674895
DM_20250428-163446_Interview,-0.1075,-0.0748,2776,1931,0.6321982438304976
DM_20250428-165912_Interview,-0.0742,-0.0523,3866,2725,0.7318893615564066
DM_20250428-172852_Interview,-0.1727,-0.1202,4938,3437,0.7414757975656321
DM_20250428-180229_Interview,-0.0897,-0.0618,3076,2119,0.7494846730559744
DM_20250428-182802_Interview,-0.1018,-0.07,3472,2388,0.6986942624296589
DM_20250428-185658_Interview,-0.1457,-0.0999,4481,3071,0.8056166732641981
DM_20250428-192234_Interview,-0.1555,-0.1146,312,230,0.68080445413167
DM_20250428-192407_Interview,-0.1136,-0.0761,2543,1703,0.6673886227924958
DM_20250428-194728_Interview,-0.1507,-0.1043,2866,1983,0.7103034652531699
DM_20250428-201240_Interview,-0.063,-0.0437,3242,2250,0.752425019145624
DM_20250428-204221_Interview,-0.0969,-0.0677,3106,2169,0.6533774550779841
DM_20250428-210633_Interview,-0.0882,-0.0617,2673,1869,0.7245704447037918
DM_20250428-213133_Interview,-0.1053,-0.0716,2999,2040,0.7066464372611302
DM_20250428-215743_Interview,-0.1051,-0.0721,2968,2035,0.6751295591061464
DM_20250428-222322_Interview,-0.0962,-0.0669,4076,2833,0.7018775898015471
DM_20250428-225837_Interview,-0.1052,-0.0723,3008,2069,0.6434889914988874
DM_20250428-232528_Interview,-0.0685,-0.0475,3374,2340,0.6811688973205531
DM_20250428-235723_Interview,-0.0878,-0.0602,2851,1957,0.7074513240668058
DM_20250429-002224_Interview,-0.0758,-0.0515,3087,2100,0.6993276891686401
DM_20250429-004952_Interview,-0.1181,-0.0808,3071,2101,0.7225664446593905
DM_20250429-011504_Interview,-0.1234,-0.0827,3025,2027,0.6559837386652972
DM_20250429-014128_Interview,-0.0928,-0.0637,2568,1763,0.6792740755215317
DM_20250429-020455_Interview,-0.106,-0.0731,3613,2491,0.6641441132263444
DM_20250429-023642_Interview,-0.0949,-0.0657,4278,2960,0.6927622156249479
DM_20250429-030941_Interview,-0.1096,-0.0761,2879,1998,0.7020047673751965
DM_20250429-033532_Interview,-0.1283,-0.0892,3563,2476,0.7525368655393935
DM_20250429-040356_Interview,-0.0979,-0.0662,3205,2167,0.7043396744769925
DM_20250429-043057_Interview,-0.1059,-0.0711,2782,1868,0.6893809067675467
DM_20250429-045409_Interview,-0.076,-0.0524,3840,2646,0.6875412250190648
DM_20250429-051641_Interview,-0.09,-0.0621,2920,2016,0.6846815926226014
DM_20250429-054305_Interview,-0.1201,-0.0844,3293,2315,0.699414092217536
DM_20250429-060853_Interview,-0.1244,-0.0859,2896,2000,0.6616118519353403
DM_20250429-063640_Interview,-0.1098,-0.0757,3288,2268,0.7498858076497543
DM_20250429-070346_Interview,-0.1273,-0.0887,2948,2054,0.6347350361144156
DM_20250429-072950_Interview,-0.0982,-0.0672,2817,1928,0.7215451956266202
DM_20250429-075617_Interview,-0.1056,-0.0747,36339,25709,0.6475361740075405
DM_20250429-093442_Interview,-0.1229,-0.0841,3126,2139,0.6490753668425661
DM_20250429-100224_Interview,-0.1573,-0.1124,382,273,0.6659078267133423
DM_20250429-100535_Interview,-0.1193,-0.0816,3034,2074,0.6668641077927383
